epoch,train_loss,validation_loss,train_r2,validation_r2,learning_rate
1,35.83912723703791,34.94412832458814,-13.174478650093391,-10.84252868415686,2.0000000000000003e-06
2,21.05910050958619,8.467459592036903,-7.3405313210336445,-1.8739421003122927,4.000000000000001e-06
3,3.5129459564548386,2.8742990834095203,-0.38950267059984855,0.07086069687831875,6e-06
4,2.436223333939574,2.541773050169771,0.03617169989202951,0.1809990318582254,8.000000000000001e-06
5,1.9935426089100372,2.189243970438838,0.21179357680396238,0.3017149200251886,1e-05
6,1.653631157444832,1.9263593157132466,0.34549988610901805,0.3819069831196963,9.777777777777779e-06
7,1.5154821423062108,1.7367782418926556,0.39976722535299436,0.43702784730788236,9.555555555555556e-06
8,1.3793700655600183,1.6433028541505337,0.4545765660058543,0.46230607228612797,9.333333333333334e-06
9,1.2552072161570527,1.6445299697419007,0.5029988981903819,0.4619300779197618,9.111111111111112e-06
10,1.2217195312630265,1.6310222459336121,0.5162257284499284,0.4693802429607026,8.888888888888888e-06
11,1.1528638934431816,1.6495686552176874,0.5439494870573793,0.45660078032034757,8.666666666666668e-06
12,1.1099528688237184,1.547026219467322,0.5628818510130975,0.4903343975892416,8.444444444444446e-06
13,1.0689197700274617,1.5174064356833696,0.5770339754864932,0.5038115414839186,8.222222222222222e-06
14,1.0560112756147122,1.6813955542941887,0.5822829799068759,0.4408099494503873,8.000000000000001e-06
15,1.0402426414919974,1.611571050869922,0.5884481608118067,0.4653098759295742,7.77777777777778e-06
16,0.9901101590696731,1.5656754290685058,0.608183039749062,0.47959511681292133,7.555555555555556e-06
17,0.9966616337759453,1.522139720308284,0.6062080041134958,0.4947025039949279,7.333333333333333e-06
18,0.9377811989539249,1.476539393576483,0.6287905894292152,0.5092585391367319,7.111111111111112e-06
19,0.9273749520082522,1.4985173012440403,0.6327858550526091,0.5007862362416295,6.88888888888889e-06
20,0.9233122811580362,1.4725349225724738,0.6345214304145332,0.5099947863211058,6.666666666666667e-06
21,0.9076705743047527,1.554927244161566,0.6408954542544516,0.4800849578475811,6.444444444444445e-06
22,0.8784413176371639,1.4972583819180727,0.6527179613500073,0.49994174329716845,6.222222222222223e-06
23,0.8881553188900003,1.4962646725277107,0.6495204814563394,0.5000273772684151,6e-06
24,0.882973964874607,1.5020417471726735,0.650550813974208,0.49837694334794636,5.777777777777778e-06
25,0.8527475352723497,1.4888774572561185,0.6622107166171902,0.501862337158986,5.555555555555557e-06
26,0.8435081631916209,1.4313278350358207,0.6669316520950717,0.5219058418534477,5.333333333333334e-06
27,0.8356205497618606,1.4833701557169359,0.6696283384725225,0.5036751958634993,5.1111111111111115e-06
28,0.8355854749679565,1.4364268388599157,0.6695841009787028,0.5193838749672555,4.888888888888889e-06
29,0.8034623763465643,1.3944969475269318,0.6831427388443279,0.5345103006614553,4.666666666666667e-06
30,0.7977920187296426,1.470885952624182,0.6840536875065106,0.5070367204131163,4.444444444444444e-06
31,0.7937404843873548,1.4491858528926969,0.686257068538636,0.5144660856813342,4.222222222222223e-06
32,0.7959432698655546,1.424748235071699,0.6847867133194948,0.5224739988204119,4.000000000000001e-06
33,0.7755572774954009,1.412193234699468,0.6931059829060269,0.5269455676694488,3.777777777777778e-06
34,0.770660942546407,1.4274998114754756,0.6950133540721212,0.5210604426639832,3.555555555555556e-06
35,0.7656961682819783,1.3788284976035357,0.6971317988429626,0.5383348854723277,3.3333333333333333e-06
36,0.7786932407988044,1.3933865049233038,0.6915933164053235,0.5330493795932965,3.1111111111111116e-06
37,0.7672641068921053,1.3858621021111805,0.6966963909858572,0.5355337018501044,2.888888888888889e-06
38,0.754965660902193,1.392613809555769,0.7017960072435105,0.5327391094951786,2.666666666666667e-06
39,0.751373399581228,1.3624141210069258,0.7025590428431554,0.5436011906932545,2.4444444444444447e-06
40,0.7431617574509523,1.413953656020264,0.7060434291391817,0.5254733020144386,2.222222222222222e-06
41,0.7494329147619712,1.4040532782673836,0.7035700964095817,0.5290077364871196,2.0000000000000003e-06
42,0.7336664979619191,1.4383432734757662,0.7093899669189676,0.5166685769246315,1.777777777777778e-06
43,0.7375617325305939,1.4266362491374214,0.7078389113673825,0.520492332401061,1.5555555555555558e-06
44,0.7239817456344614,1.3841964360326529,0.7139903843341421,0.5352457959510544,1.3333333333333334e-06
45,0.7489010527692642,1.407646152190864,0.7039181935206904,0.5270432275552823,1.111111111111111e-06
46,0.7272998337682924,1.443350763991475,0.7123509434714212,0.5144665545192363,8.88888888888889e-07
