Dataset,R2,RMSE,MAE
Train,0.7255129814147949,0.8330135725387936,0.6360545754432678
Validation,0.5436257123947144,1.1672751622301556,0.8884106278419495
Test,0.5486049652099609,1.0870251046188373,0.8344736695289612
