Dataset,R2,RMSE,MAE
Train,0.9544307080464469,0.33941207530727063,0.24024313055244495
Validation,0.7972960094025268,0.7779359054631658,0.5699476966241243
Test,0.751561708032058,0.8064369923113517,0.5988950068951542
