Dataset,R2,RMSE,MAE
Train,0.734736442565918,0.8188982079585418,0.6240304708480835
Validation,0.64501953125,1.0294727848303815,0.776569664478302
Test,0.6056395769119263,1.016033090619506,0.795202910900116
