epoch,train_loss,validation_loss,train_r2,validation_r2,learning_rate
1,6.560775386095047,4.3408321514725685,-1.6020896434783936,-0.47091782093048096,0.001
2,1.6608895885944366,2.332674461106459,0.3421981930732727,0.22210675477981567,0.001
3,1.5570202696323394,1.8822827488183975,0.3841989040374756,0.37685132026672363,0.001
4,1.466048533320427,2.693391554057598,0.42103952169418335,0.09203147888183594,0.001
5,1.489588934779167,1.7332036296526592,0.4103231430053711,0.4263027310371399,0.001
6,1.4485299956798554,1.985053464770317,0.42635321617126465,0.35364556312561035,0.001
7,1.4012196004390716,1.803579958776633,0.44688576459884644,0.3965999484062195,0.001
8,1.3988354015350342,1.4788683379689853,0.44553351402282715,0.5165966749191284,0.001
9,1.359398649930954,1.4978697896003723,0.46175092458724976,0.5063296556472778,0.001
10,1.3300643998384476,1.5545422782500584,0.47334837913513184,0.49088335037231445,0.001
11,1.2786978214979172,1.6745834698279698,0.49499160051345825,0.44296276569366455,0.001
12,1.274360904097557,2.495429332057635,0.49575138092041016,0.18767660856246948,0.001
13,1.245395414829254,1.4563616961240768,0.5069276094436646,0.5184868574142456,0.001
14,1.2398082000017165,1.4300982356071472,0.5088887810707092,0.5285190939903259,0.001
15,1.2393625497817993,1.9943120678265889,0.508851170539856,0.3470129370689392,0.001
16,1.2366822236776351,1.7971447507540386,0.5115883946418762,0.41488635540008545,0.001
17,1.1938396215438842,1.4249453221758206,0.5282984972000122,0.5307533740997314,0.001
18,1.2016893178224564,1.4451235085725784,0.5253403186798096,0.5197638273239136,0.001
19,1.1918241637945175,1.396936982870102,0.5279392004013062,0.5398688316345215,0.001
20,1.1947979426383972,1.428410490353902,0.5269346237182617,0.5275049805641174,0.001
21,1.1608487236499787,1.6238074749708176,0.5410564541816711,0.4551582932472229,0.001
22,1.1431526833772658,1.5550637046496074,0.5478638410568237,0.4843079447746277,0.001
23,1.1683205109834671,1.2847586224476497,0.5376947522163391,0.5772808790206909,0.001
24,1.1393620151281356,1.7380286032954853,0.5492483973503113,0.4169173240661621,0.001
25,1.1327783393859863,2.0344113633036613,0.5525954961776733,0.3129376173019409,0.001
26,1.122692613005638,1.335296352704366,0.5563875436782837,0.5570728778839111,0.001
27,1.099398649930954,1.3380789657433827,0.5656489133834839,0.5595108270645142,0.001
28,1.1083479088544845,1.2821198751529057,0.5608351230621338,0.5766942501068115,0.001
29,1.0983831852674484,1.3017438972989719,0.5658940076828003,0.5681154727935791,0.001
30,1.0576292479038238,1.2577797422806423,0.5818450450897217,0.5799977779388428,0.001
31,1.0824482613801956,1.2122221762935321,0.5723013877868652,0.597165584564209,0.001
32,1.0552532750368118,1.3024008100231488,0.5821365118026733,0.566236138343811,0.001
33,1.0820853459835051,1.2873933737476666,0.5716531276702881,0.5730013847351074,0.001
34,1.0479265254735948,1.1887308210134506,0.5850496292114258,0.6077197790145874,0.001
35,1.0522892194986344,1.2557036727666855,0.5834007263183594,0.5798734426498413,0.001
36,1.0337502980232238,1.1448043137788773,0.5905275940895081,0.6178790330886841,0.001
37,1.0227154725790024,1.1785741870601971,0.5966888666152954,0.6057177186012268,0.001
38,1.0092713475227355,1.1765867322683334,0.6006045937538147,0.6118177771568298,0.001
39,1.0357498943805694,1.2950429717699687,0.590139627456665,0.5662099123001099,0.001
40,0.999588416814804,1.5554961959520976,0.6048488616943359,0.48863929510116577,0.001
41,0.9846093201637268,1.152556026975314,0.610605001449585,0.6165332198143005,0.001
42,0.9498484486341476,1.2404572392503421,0.6245647668838501,0.5894235372543335,0.001
43,0.9556751501560211,1.063503459095955,0.6228857040405273,0.64501953125,0.001
44,0.9676630383729935,1.4681209276119869,0.6169458031654358,0.5059099793434143,0.001
45,0.9644667780399323,1.210804060101509,0.6183098554611206,0.6017628312110901,0.001
46,0.9725042259693146,1.1327495922644932,0.6152113676071167,0.6230795383453369,0.001
47,0.9405367150902748,1.2147239744663239,0.6281919479370117,0.5966291427612305,0.001
48,0.9234110397100449,1.177437591056029,0.6348469257354736,0.6069707870483398,0.001
49,0.939634860754013,1.0803957084814708,0.6284230947494507,0.6410003304481506,0.001
50,0.945128111243248,1.094283680121104,0.6260620951652527,0.6346445083618164,0.001
