Dataset,R2,RMSE,MAE
Train,0.9873599736358839,0.17875785666977467,0.11381915656919532
Validation,0.8007197346905554,0.7713381533218151,0.5710813963646137
Test,0.7377168772673888,0.8286027049009258,0.6028430271007127
