Fold,R2,RMSE,MAE
1,0.8174605199816485,0.6991252057821638,0.5250152035701919
2,0.7957678299737974,0.7259782554989495,0.51892140277501
3,0.8130333459415799,0.6878012419724067,0.5104498691684298
4,0.807329266792426,0.7215101662911565,0.5175646726476917
5,0.7893997680439012,0.7151760834008483,0.5227121731330784
