epoch,train_loss,validation_loss,train_r2,validation_r2,learning_rate
1,21.3475691804611,2.20288602480044,-7.456375620591151,0.3022139182387429,2.0000000000000003e-06
2,1.7733653613499232,1.6508926295985777,0.29833186293282776,0.4754076495991565,4.000000000000001e-06
3,1.425701234648401,1.4610943719744682,0.43560209683886486,0.5335068598509096,6e-06
4,1.198920431367138,1.3852991685271263,0.5266661555183545,0.5541797354079314,8.000000000000001e-06
5,1.0932065664900275,1.3181794950117667,0.5677979552549535,0.5748773144815507,1e-05
6,0.9472429669441137,1.3552079598108928,0.6251075019613046,0.5510482031801043,9.777777777777779e-06
7,0.8602181001564017,1.0344728001703818,0.6596488915607986,0.659160339058152,9.555555555555556e-06
8,0.7933375342074492,1.287151649594307,0.6860586807881779,0.5694853678865606,9.333333333333334e-06
9,0.7304807449492595,1.0376674514263868,0.7109317492312197,0.6494270825538832,9.111111111111112e-06
10,0.7150148419583949,1.122720745081703,0.7167896487367884,0.6231933676578453,8.888888888888888e-06
11,0.6676115558709118,0.9591109224905571,0.7357598288231499,0.6792535773273003,8.666666666666668e-06
12,0.6290264296016299,1.1044158649941285,0.7514111519284401,0.6282106016609372,8.444444444444446e-06
13,0.6053049507221782,0.9822941912959019,0.7607634343144574,0.6685533900222651,8.222222222222222e-06
14,0.5647450996595517,1.0380317413558562,0.7768789849973592,0.6480604035005413,8.000000000000001e-06
15,0.5532166228482598,0.8519585635513067,0.7813565049403632,0.7124586756430985,7.77777777777778e-06
16,0.5236763709918001,0.9969174209982157,0.7929552941641729,0.6625983632919734,7.555555555555556e-06
17,0.4969686749286221,0.8213863233104348,0.8038341110389692,0.7219586139343801,7.333333333333333e-06
18,0.48912362903730017,0.9008287830899159,0.8069438365289416,0.6946205263706398,7.111111111111112e-06
19,0.4590176155879384,0.8643744651538631,0.8184627883133941,0.7067788827006425,6.88888888888889e-06
20,0.4469609667820142,0.9304284850756327,0.822983251279204,0.6860720644186646,6.666666666666667e-06
21,0.4486483599906577,0.8570132205883662,0.8226195386442943,0.7102980543688708,6.444444444444445e-06
22,0.4402301659560144,0.7473846108963093,0.8258527807993428,0.7471064763834505,6.222222222222223e-06
23,0.4213238607223769,0.7907338719815016,0.8331679638560964,0.7335507911320058,6e-06
24,0.4160970770065348,0.8303105135758718,0.8354348884775906,0.7183948017436388,5.777777777777778e-06
25,0.40405196242762687,0.727880402157704,0.8401290672103487,0.7536968952075449,5.555555555555557e-06
26,0.3862274756613083,0.9503201994424065,0.8471603283389111,0.678415735899337,5.333333333333334e-06
27,0.3881424593746214,0.8092364060382048,0.8467822362728461,0.7259384301621677,5.1111111111111115e-06
28,0.3769334591645047,0.9520145306984583,0.8509178849561436,0.678769703035486,4.888888888888889e-06
29,0.3690953609302528,0.7844595387578011,0.8541771699344001,0.7342673232290258,4.666666666666667e-06
30,0.35684570289195927,0.7567915534600616,0.8587333033722626,0.7437765432733083,4.444444444444444e-06
31,0.36010629891004775,0.832172409320871,0.8580550258138451,0.7181883743702676,4.222222222222223e-06
32,0.3491927978762409,0.7945715921620528,0.8619220734722854,0.7312832765286261,4.000000000000001e-06
