Dataset,R2,RMSE,MAE
Train,0.9068371057510376,0.4853025753237065,0.3621031939983368
Validation,0.7486299276351929,0.8663022445843384,0.6524034738540649
Test,0.6568439602851868,0.9477788105305984,0.6971593499183655
